DATE,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2015/02/12,50ETF沽2015年9月2.30,认沽,2.3,2015/09/23 00:00,0.156
2015/02/12,50ETF沽2015年9月2.35,认沽,2.35,2015/09/23 00:00,0.1796
2015/02/12,50ETF沽2015年9月2.40,认沽,2.4,2015/09/23 00:00,0.2049
2015/02/12,50ETF购2015年3月2.45,认购,2.45,2015/03/25 00:00,0.0536
2015/02/12,50ETF沽2015年3月2.45,认沽,2.45,2015/03/25 00:00,0.1165
2015/02/12,50ETF购2015年4月2.45,认购,2.45,2015/04/22 00:00,0.0826
2015/02/12,50ETF沽2015年4月2.45,认沽,2.45,2015/04/22 00:00,0.1421
2015/02/12,50ETF购2015年6月2.45,认购,2.45,2015/06/24 00:00,0.1342
2015/02/12,50ETF沽2015年6月2.45,认沽,2.45,2015/06/24 00:00,0.1861
2015/02/12,50ETF购2015年9月2.45,认购,2.45,2015/09/23 00:00,0.1899
2015/02/12,50ETF沽2015年9月2.45,认沽,2.45,2015/09/23 00:00,0.2304
2015/02/12,50ETF购2015年3月2.50,认购,2.5,2015/03/25 00:00,0.0373
2015/02/12,50ETF沽2015年3月2.50,认沽,2.5,2015/03/25 00:00,0.1502
2015/02/12,50ETF购2015年4月2.50,认购,2.5,2015/04/22 00:00,0.0629
2015/02/12,50ETF沽2015年4月2.50,认沽,2.5,2015/04/22 00:00,0.1721
2015/02/12,50ETF购2015年6月2.50,认购,2.5,2015/06/24 00:00,0.1158
2015/02/12,50ETF沽2015年6月2.50,认沽,2.5,2015/06/24 00:00,0.2169
2015/02/12,50ETF购2015年9月2.50,认购,2.5,2015/09/23 00:00,0.1688
2015/02/12,50ETF沽2015年9月2.50,认沽,2.5,2015/09/23 00:00,0.262
2015/02/12,50ETF购2015年3月2.40,认购,2.4,2015/03/25 00:00,0.0736
2015/02/13,50ETF购2015年3月2.20,认购,2.2,2015/03/25 00:00,0.209
2015/02/13,50ETF购2015年3月2.25,认购,2.25,2015/03/25 00:00,0.1677
2015/02/13,50ETF购2015年3月2.30,认购,2.3,2015/03/25 00:00,0.1281
2015/02/13,50ETF购2015年3月2.35,认购,2.35,2015/03/25 00:00,0.0925
2015/02/13,50ETF沽2015年3月2.20,认沽,2.2,2015/03/25 00:00,0.0159
2015/02/13,50ETF沽2015年3月2.25,认沽,2.25,2015/03/25 00:00,0.0236
2015/02/13,50ETF沽2015年3月2.30,认沽,2.3,2015/03/25 00:00,0.035
2015/02/13,50ETF沽2015年3月2.35,认沽,2.35,2015/03/25 00:00,0.0517
2015/02/13,50ETF沽2015年3月2.40,认沽,2.4,2015/03/25 00:00,0.073
2015/02/13,50ETF购2015年4月2.20,认购,2.2,2015/04/22 00:00,0.225
2015/02/13,50ETF购2015年4月2.25,认购,2.25,2015/04/22 00:00,0.1873
2015/02/13,50ETF购2015年4月2.30,认购,2.3,2015/04/22 00:00,0.1533
2015/02/13,50ETF购2015年4月2.35,认购,2.35,2015/04/22 00:00,0.1267
2015/02/13,50ETF购2015年4月2.40,认购,2.4,2015/04/22 00:00,0.0977
2015/02/13,50ETF沽2015年4月2.20,认沽,2.2,2015/04/22 00:00,0.0265
2015/02/13,50ETF沽2015年4月2.25,认沽,2.25,2015/04/22 00:00,0.0372
2015/02/13,50ETF沽2015年4月2.30,认沽,2.3,2015/04/22 00:00,0.0521
2015/02/13,50ETF沽2015年4月2.35,认沽,2.35,2015/04/22 00:00,0.0726
2015/02/13,50ETF沽2015年4月2.40,认沽,2.4,2015/04/22 00:00,0.0992
2015/02/13,50ETF购2015年6月2.20,认购,2.2,2015/06/24 00:00,0.2592
2015/02/13,50ETF购2015年6月2.25,认购,2.25,2015/06/24 00:00,0.2231
2015/02/13,50ETF购2015年6月2.30,认购,2.3,2015/06/24 00:00,0.1989
2015/02/13,50ETF购2015年6月2.35,认购,2.35,2015/06/24 00:00,0.1652
2015/02/13,50ETF购2015年6月2.40,认购,2.4,2015/06/24 00:00,0.1422
2015/02/13,50ETF沽2015年6月2.20,认沽,2.2,2015/06/24 00:00,0.0539
2015/02/13,50ETF沽2015年6月2.25,认沽,2.25,2015/06/24 00:00,0.0719
2015/02/13,50ETF沽2015年6月2.30,认沽,2.3,2015/06/24 00:00,0.0891
2015/02/13,50ETF沽2015年6月2.35,认沽,2.35,2015/06/24 00:00,0.1074
2015/02/13,50ETF沽2015年6月2.40,认沽,2.4,2015/06/24 00:00,0.132
2015/02/13,50ETF购2015年9月2.20,认购,2.2,2015/09/23 00:00,0.3137
